ID,RA,Dec
0,148.95252144081925,69.67837916051153
1,148.95290265348086,69.6784508573199
2,148.9532457795508,69.67868042982263
3,148.95378591953536,69.67885441545893
4,148.9541030280582,69.67861459949738
5,148.95506344068076,69.67902420320974
6,148.9553450383302,69.67925077839296
7,148.95544898157456,69.67883313748855
8,148.95585902577835,69.67941932211913
9,148.9562556680404,69.6793374021485
10,148.956311581898,69.6787665211489
11,148.95644907163265,69.67858845292973
12,148.95684329081973,69.67918602520469
13,148.95695063403477,69.67859810548549
14,148.9570798248986,69.67875974390613
15,148.95715602307507,69.67925236248948
16,148.957211605656,69.67978448024394
17,148.95723940444623,69.67865639228908
18,148.9577363429838,69.67894636757673
19,148.95802500432347,69.67909518492337
20,148.95811050199123,69.67852160241783
21,148.95825752154752,69.67956625683563
22,148.95839823959415,69.67886149168686
23,148.95851273290486,69.67915921221527
24,148.95871854712928,69.67883478266228
25,148.95878942411028,69.67944851797054
26,148.9589523065195,69.67895393901648
27,148.95896674131023,69.6791093054979
28,148.95934299192587,69.67935319886709
29,148.9593968688323,69.6785489756108
30,148.95952723047648,69.67904686231614
31,148.95959615436922,69.67962947779942
32,148.95968393746455,69.67882532020731
33,148.95992926622986,69.6795434076075
34,148.9600353616443,69.67898419454743
35,148.96024506490824,69.6799730967082
36,148.9602892446779,69.6794507653944
37,148.96059601963628,69.67882326530913
38,148.9607732106253,69.67981073049135
39,148.96080202003583,69.68000528977326
40,148.96087740530294,69.67803552381436
41,148.96095309936044,69.67948715298026
42,148.96108916516638,69.67937114610869
43,148.9611494780506,69.67911514794942
44,148.9613705192811,69.67778947179275
45,148.96149322130594,69.6797708102688
46,148.96168632579455,69.67832447741117
47,148.96178619939005,69.67911887124096
48,148.96191549561337,69.67932523737854
49,148.9620447875051,69.68003144548325
50,148.9620576126013,69.67989259524133
51,148.9622737182071,69.68034522204967
52,148.9622937487826,69.67889135458746
53,148.96247911133136,69.67964677605576
54,148.96251211559053,69.67915084438869
55,148.9626242779652,69.6782663517157
56,148.96270440442424,69.679382833632
57,148.96271102078126,69.67876300753011
58,148.96271563232392,69.6795335232252
59,148.9627417053859,69.68080511463991
60,148.9629095938454,69.67991276728222
61,148.96300172308938,69.68008382307323
62,148.96301729655005,69.67915422474908
63,148.96310495148387,69.67974534432295
64,148.96350115341446,69.68014345470236
65,148.9635659397948,69.67994417125978
66,148.96358233257877,69.67815490088978
67,148.96371979448577,69.6795415352912
68,148.96378590524566,69.67891895936901
69,148.9639988192718,69.67923563280773
70,148.96425390436235,69.67904114922874
71,148.9642685032287,69.67970189503149
72,148.9643811601018,69.68075629102796
73,148.96445065149598,69.67891150935779
74,148.96453592013566,69.67983748849542
75,148.96468578939405,69.67874822621705
76,148.964775834631,69.67935612527815
